program	ID	Name	Proponent	Project Type	Distinctions	Status	region	country_area	trop_subtrop	yearMR	mammals	birds	reptiles	amphibians	fish	plants	invertebrates	fungi	protists	prokaryotes	camtrap	accous	traps	DNA	formal_obs	incidental_obs	camtrap_n	accous_n	traps_n	DNA_n	formal_obs_n	incidental_obs_n	animal_mon	sample_based_n_provided	raw_data_avail	mon_results_in_unavail.report	taxa_notes	methods_notes	data_notes	lat_approx	lon_approx	kml	area_ha	ann_emiss_red	notes
CCB	1895	Jilin Linjiang Afforestation Project	"Jilin Forest Industry Environmental Technology Co., Ltd."	"Afforestation, Reforestation and Revegetation"		Verification public comment period requested 	Asia	China	0	2020	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	45	0	"yes, sample based"	Y	N	N		"MR states that fresh animal feces should be sampled for molecular analysis, but no results reported. Main method was line transects in and around plant survey plots for general ""wildlife"" observation."		41.715742	127.066431	0	25085	546751	
CCB	1896	Hunan Northern and Northwestern Area Afforestation Project	"Jilin Forest Industry Environmental Technology Co., Ltd."	"Afforestation, Reforestation and Revegetation"	Gold	Verification approved	Asia	China	1	2021	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	30	0	"yes, sample based"	Y	N	N		"Observation method was line transects (with GPS, angle, and distance information) in and around plant survey plots for general ""wildlife"" observation."		28.841725	112.489008	1	41317	286518	
CCB	1897	Ntakata Mountains REDD	Carbon Tanzania	Reduced Emissions from Deforestation and Degradation	Climate Gold; Community Gold; Biodiversity Gold	Verification approved	Africa	Tanzania	1	2020	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	none	NA	N	N		3 species of mammals and one bird are said to be monitored via tracking forest cover as a proxy for habitat (chimps using a satelite-derived habitat suitability index); number of veg plots not provided	Dickson et al. (2020) discusses monitoring method in this project	-6.361709	30.452771	1	212557	420200	
CCB	1900	Makame Savannah REDD	Carbon Tanzania	Reduced Emissions from Deforestation and Degradation	Climate Gold; Community Gold; Biodiversity Gold	Under Verification	Africa	Tanzania	1	2020	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	NA	0	0	0	NA	NA	"yes, sample based"	N	N	N		"formal occupancy modeling (w/ uncertainty), camera trapping, and community game scouts; no sample sizes listed"		-4.665142	36.654932	1	104065	136411	
CCB	1935	Hubei Hongshan IFM (Conversion of Logged to Protected Forest) Project	"Zhejiang Zhongzheng Forestry Development Co.,Ltd"	Improved Forest Management		Verification approval requested 	Asia	China	1	2022	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	"yes, sample based"	Y	N	N		"veg plots were same as those used for carbon measurements; bird observations performed at 5 locations but only the number of individuals, not species, reported (192)"		31.5	113	1	23769	292309	
CCB	1953	Floresta Verde REDD+ Project	Floresta Verde Serviços Ltda.	Reduced Emissions from Deforestation and Degradation	Climate Gold	Under Verification	South America	Brazil	1	2022	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	"yes, incidental"	NA	N	N		veg plots were same as those used for carbon measurements; mammal and bird observations were performed during patrols		-3.270311	-47.162283	1	53528	340000	
CCB	1969	Carbono Verde AR Project	Amazon Reforestation Consortium.	"Afforestation, Reforestation and Revegetation"	Silver	Under Verification	South America	Brazil	1	2020	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	"yes, incidental"	NA	N	N	"ranger kept track of mammals, birds and reptiles, but table 17 only showed select mammals encountered; only one bird species listed and no reptiles species listed"	"monitoring was opportunistic sightings of bird, mammals, and reptiles by ranger during leaf-cutter ant patrols"		-3.350683	-47.1554	1	39150	516780	
CCB	2070	Guinan Afforestation Project	"Guizhou Baiheng Fertiliser Co., Ltd"	"Afforestation, Reforestation and Revegetation"		Verification approved	Asia	China	1	2021	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	26	0	"yes, sample based"	Y	N	N		"""All fresh animal feces must be sampled every time for molecular biological analysis."" But no results from this reported, so assuming no samples tested."		25.890556	107.606389	1	46000	645768	
CCB	2082	Qianbei Afforestation Project	"Guizhou Xinzhanxin Agricultural Technology Co., Ltd."	"Afforestation, Reforestation and Revegetation"		Verification approved	Asia	China	1	2021	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	40	0	"yes, sample based"	Y	N	N		"""All the fresh animal feces should be sampled for molecular biological analysis.""  But no results from this reported, so assuming no samples tested."		27.890833	107.282778	1	50061	708123	
CCB	2087	Chudu Afforestation Project	"Xichuan Rongda Agriculture and Forestry Co., Ltd"	"Afforestation, Reforestation and Revegetation"		Verification approval requested 	Asia	China	1	2020	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	39	0	"yes, sample based"	Y	N	N	report states 7 individuals of 2 species of animals (wild hog and eagle)	"""All the fresh animal feces met should be sampled for molecular biological analysis."" but no results reported."		33.086451	111.25269	1	36500	668883	
CCB	2250	Delta Blue Carbon – 1	Multiple Proponents	"Afforestation, Reforestation and Revegetation"	Climate Gold; Community Gold; Biodiversity Gold	Verification approved	Asia	Pakistan	1	2021	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	NA	NA	NA	0	NA	0	"yes, sample based"	N	N	Y	"Monitoring results table 3.2.1 states ""fish and shrimp species diversity"" increased; also amphibians, birds, mammals; methods annex describes butterfly and odonate monitoring methods"	"marine organsims: net transects, baited traps (both every 50 m); bats: harp traps, acoustic monitoring"	"A consultant-prepared biodiversity monitoring results report is referenced, but not available. ""The whole monitoring process is fully documented in text, photographic and videographic form and is available for review by the VVB."""	24.1579	67.811203	1	350000	2407629	
